iter	Logloss
153	0.5718619677
154	0.5715724528
155	0.5711396268
156	0.5708514352
157	0.5707076012
158	0.5703564035
159	0.5699888507
160	0.5697630485
161	0.5694540466
162	0.5691435104
163	0.568954094
164	0.5687506001
165	0.5685168484
166	0.5682766746
167	0.5677708357
168	0.5676450065
169	0.5672583121
170	0.5670178944
171	0.5667255929
172	0.5664904081
173	0.5662238424
174	0.566088219
175	0.5656574573
176	0.5653379368
177	0.5648979518
178	0.564555548
179	0.5640505803
180	0.5638561732
181	0.5635478427
182	0.5631719638
183	0.562964496
184	0.5627181906
185	0.5625681481
186	0.5624208977
187	0.5621400619
188	0.5617708111
189	0.5614446202
190	0.5610536889
191	0.5607412605
192	0.5606166663
193	0.560401469
194	0.5601386671
195	0.559883236
196	0.5596640029
197	0.5592641486
198	0.5589178197
199	0.5587124028
200	0.5584139624
201	0.55832073
202	0.5580450863
203	0.5578920986
204	0.55751656
205	0.5572661032
206	0.5570070867
207	0.5566904412
208	0.5564463786
209	0.5560543705
210	0.5558178708
211	0.555600568
212	0.555247926
213	0.5550581106
214	0.5547844412
215	0.5543039097
216	0.5541139109
217	0.5539817198
218	0.553753294
219	0.553600714
220	0.5533765917
221	0.5532064541
222	0.553025645
223	0.5528963941
224	0.5523835542
225	0.5521851065
226	0.5520169146
227	0.5517889757
228	0.5516316393
229	0.5515508119
230	0.5513934263
231	0.5510882491
232	0.5508229899
233	0.5505834502
234	0.5503262416
235	0.5502600161
236	0.5500758605
237	0.5498440439
238	0.5497377044
239	0.5494813486
240	0.5491623784
241	0.5490447314
242	0.5489441342
243	0.5486855255
244	0.5484816571
245	0.5482011744
246	0.5478847472
247	0.5476297211
248	0.5474513935
249	0.5471650569
250	0.547006752
251	0.5469045526
252	0.5466170307
253	0.546487022
254	0.5461719633
255	0.5460771687
256	0.545791373
257	0.5455301242
258	0.545262137
259	0.5449963955
260	0.5446858147
261	0.5442219963
262	0.5438632961
263	0.5437543615
264	0.5435745306
265	0.5434137205
266	0.5432273937
267	0.5428511646
268	0.5426378507
269	0.5425398078
270	0.5423610662
271	0.5421812474
272	0.5420607239
273	0.5418830081
274	0.541625823
275	0.5413625389
276	0.5412481857
277	0.5410811614
278	0.540961033
279	0.5407460354
280	0.5405908931
281	0.5404579688
282	0.5402479135
283	0.5399782389
284	0.5399051794
285	0.5396938949
286	0.5394248891
287	0.5391578011
288	0.5389570592
289	0.5387953195
290	0.5386748931
291	0.5384382505
292	0.5382721346
293	0.5379685623
294	0.5378007898
295	0.5374547724
296	0.5372635509
297	0.5370723924
298	0.5368427185
299	0.5366552436
300	0.5364969907
301	0.5362436614
302	0.5360067438
303	0.5356630014
304	0.5353470434
305	0.5351289854
306	0.5348540783
307	0.5347535755
308	0.5345069625
309	0.5342690792
310	0.5341077537
311	0.5339878377
312	0.533795315
313	0.5334071674
314	0.5331595975
315	0.533092577
316	0.5328457655
317	0.5325562352
318	0.5323403439
319	0.532277755
320	0.5320254836
321	0.5316118091
322	0.5313386227
323	0.5311690917
324	0.5308467609
325	0.5305332478
326	0.5303455049
327	0.5301701344
328	0.530005202
329	0.5299037019
330	0.5295598467
331	0.5293536939
332	0.529210127
333	0.5289490779
334	0.5286138218
335	0.5284322216
336	0.5282563558
337	0.5280359908
338	0.5278924291
339	0.5275669038
340	0.5272821988
341	0.5271018984
342	0.5268689899
343	0.5266675117
344	0.5263815243
345	0.5261657178
346	0.5259768781
347	0.5258675279
348	0.5256663988
349	0.5254180747
350	0.5251536086
351	0.5249739677
352	0.5248883552
353	0.5246119394
354	0.5244010538
355	0.5242248805
356	0.5239246479
357	0.5237893498
