iter	Logloss
0	0.6770304847
1	0.6644017097
2	0.6543585829
3	0.6460925155
4	0.638457544
5	0.6323197174
6	0.6273498478
7	0.6234321252
8	0.620163293
9	0.6172765266
10	0.615314638
11	0.6129114267
12	0.6114187378
13	0.610228764
14	0.6092668294
15	0.6080590092
16	0.6070274274
17	0.6064281734
18	0.6057207575
19	0.6052333799
20	0.6046567287
21	0.604221977
22	0.6035449019
23	0.602870473
24	0.602759882
25	0.6023524462
26	0.6020467336
27	0.6014895579
28	0.6010723311
29	0.6006019955
30	0.5996895145
31	0.5990740925
32	0.598847425
33	0.5987475939
34	0.5983039312
35	0.5978027597
36	0.5976636501
37	0.5973726246
38	0.5968938006
39	0.5967569487
40	0.5964334298
41	0.596299012
42	0.5961383277
43	0.5957567397
44	0.5957034076
45	0.5955046775
46	0.5952754148
47	0.5950590613
48	0.5948152217
49	0.5945919601
50	0.594407238
51	0.5942022025
52	0.5937015378
53	0.5933483591
54	0.5931740641
55	0.5929207342
56	0.5929030001
57	0.5927303969
58	0.5925702838
59	0.5924087309
60	0.5921467809
61	0.5920859855
62	0.5920100102
63	0.5917225038
64	0.5914555736
65	0.591389289
66	0.5911519921
67	0.5911086694
68	0.5909728842
69	0.590766231
70	0.5903853097
71	0.5902755627
72	0.5900361758
73	0.5898905451
74	0.5898774495
75	0.5897143074
76	0.5894536937
77	0.5893512982
78	0.5893174166
79	0.5892481159
80	0.5892219768
81	0.5890798238
82	0.5889467136
83	0.5888053516
84	0.5887833729
85	0.5885594733
86	0.58836808
87	0.5881042384
88	0.5880775111
89	0.5879513627
90	0.5876866503
91	0.5876550186
92	0.5874968645
93	0.5872611915
94	0.5869783706
95	0.5866422159
96	0.5864921333
97	0.5863367626
98	0.5862442848
99	0.5860347269
100	0.585853595
101	0.5855149052
102	0.5852654824
103	0.5847984247
104	0.5846846259
105	0.5845221872
106	0.5844292537
107	0.584060238
108	0.5838152202
109	0.583607305
110	0.5834318473
111	0.5830879266
112	0.5829804859
113	0.5826643033
114	0.5825702289
115	0.5823961461
116	0.5822663229
117	0.5820188075
118	0.5816478306
119	0.5813662684
120	0.5811545673
121	0.5809631721
122	0.5807598143
123	0.5803459712
124	0.5801752937
125	0.5799250639
126	0.5795153611
127	0.5793327642
128	0.5791086093
129	0.5788782673
130	0.578486212
131	0.5781775132
132	0.577830784
133	0.5774992741
134	0.5771637048
135	0.5768631305
136	0.5765022895
137	0.5764237784
138	0.5762233251
139	0.5757768104
140	0.5755456615
141	0.5754168403
142	0.5750275749
143	0.5746186224
144	0.5744323923
145	0.5740420355
146	0.5737397464
147	0.5734027416
148	0.5733193591
149	0.5730052268
150	0.572489606
151	0.5722860079
152	0.5719773769
